name,year,place,chef,category,location,ranking
Betty Fussell,2009,Betty Fussell,,Who's Who of Food & Beverage in America,"New York, New York",Winner
L20,2009,L20,,Best New Restaurant,"Chicago, Illinois",Nominee
Joél Robuchon at MGM Grand Hotel & Casino,2009,Joél Robuchon at MGM Grand Hotel & Casino,Kamel Guechida,Outstanding Pastry Chef,"Las Vegas, Nevada",Nominee
Dorothy Hamilton,2009,Dorothy Hamilton,,Who's Who of Food & Beverage in America,"New York, New York",Winner
Rustic Canyon Wine Bar and Seasonal Kitchen,2009,Rustic Canyon Wine Bar and Seasonal Kitchen,Evan Funke,Rising Star Chef of the Year,"Santa Monica, California",Semifinalist
The Harvest Vine,2009,The Harvest Vine,Joseba Jiménez de Jiménez,Best Chef: Northwest,"Seattle, Washington",Nominee
Kinkead's,2009,Kinkead's,,Outstanding Restaurant,"Washington, District of Columbia",Semifinalist
Pat Kuleto Restaurant Development & Management Co.,2009,Pat Kuleto Restaurant Development & Management Co.,Pat Kuleto,Outstanding Restaurateur,"San Francisco, California",Semifinalist
Emeril's New Orleans,2009,Emeril's New Orleans,,Outstanding Service,"New Orleans, Louisiana",Nominee
Fig,2009,Fig,Michael Lata,Best Chef: Southeast,"Charleston, South Carolina",Winner
"Balthazar, Lucky Strike, Morandi, Pastis, Pravda, and Schiller's Liquor Bar",2009,"Balthazar, Lucky Strike, Morandi, Pastis, Pravda, and Schiller's Liquor Bar",Keith McNally,Outstanding Restaurateur,"New York, New York",Nominee
The Bazaar by Jos?André–Ÿ at SLS Hotel at Beverly Hills,2009,The Bazaar by Jos?André–Ÿ at SLS Hotel at Beverly Hills,,Best New Restaurant,"Los Angeles, California",Nominee
Myriad Restaurant Group,2009,Myriad Restaurant Group,Drew Nieporent,Outstanding Restaurateur,"New York, New York",Winner
P*ong,2009,P*ong,Pichet Ong,Outstanding Pastry Chef,"New York, New York",Nominee
Ola,2009,Ola,Douglas Rodriguez,Best Chef: South,"Miami Beach, Florida",Nominee
Bar Boulud,2009,Bar Boulud,"Design Bureaux, Inc.",Outstanding Restaurant Design,"New York, New York",Nominee
Mustache Bill's Diner,2009,Mustache Bill's Diner,,America's Classics,"Barnegat Light, New Jersey",Winner
Picasso At Bellagio,2009,Picasso At Bellagio,,Outstanding Wine Service,"Las Vegas, Nevada",Nominee
Fourth Wall Restaurants,2009,Fourth Wall Restaurants,Alan Stillman,Outstanding Restaurateur,"New York, New York",Semifinalist
Restaurant Le Réve,2009,Restaurant Le Réve,Andrew Weissman,Best Chef: Southwest,,Nominee
Cindy Wolf,2009,Cindy Wolf,,Who's Who of Food & Beverage in America,,Winner
Clark Wolf,2009,Clark Wolf,,Who's Who of Food & Beverage in America,"New York, New York",Winner
Camino,2009,Camino,,Best New Restaurant,"Oakland, California",Semifinalist
Distrito,2009,Distrito,,Best New Restaurant,"Philadelphia, Pennsylvania",Semifinalist
Django,2009,Django,,Best New Restaurant,"Des Moines, Iowa",Semifinalist
Holeman and Finch Public House,2009,Holeman and Finch Public House,,Best New Restaurant,"Atlanta, Georgia",Semifinalist
Izakaya at Borgata Hotel Casino & Spa,2009,Izakaya at Borgata Hotel Casino & Spa,,Best New Restaurant,"Atlantic City, New Jersey",Semifinalist
Kazimierz World Wine Bar,2009,Kazimierz World Wine Bar,,Outstanding Wine Service,"Scottsdale, Arizona",Semifinalist
Le Cirque at Bellagio,2009,Le Cirque at Bellagio,,Outstanding Service,"Las Vegas, Nevada",Semifinalist
Lucia's Restaurant,2009,Lucia's Restaurant,,Outstanding Restaurant,"Minneapolis, Minnesota",Semifinalist
Meritage,2009,Meritage,,Outstanding Wine Service,"Boston, Massachusetts",Semifinalist
Palate Food & Wine,2009,Palate Food & Wine,,Best New Restaurant,"Glendale, California",Semifinalist
Park & Orchard,2009,Park & Orchard,,Outstanding Wine Service,"East Rutherford, New Jersey",Semifinalist
Raku,2009,Raku,,Best New Restaurant,"Las Vegas, Nevada",Semifinalist
Richard Chen,2009,Richard Chen,,Best New Restaurant,"Pittsburgh, Pennsylvania",Semifinalist
Sona,2009,Sona,,Outstanding Wine Service,"Los Angeles, California",Semifinalist
Sra. Martinez,2009,Sra. Martinez,,Best New Restaurant,"Miami, Florida",Semifinalist
"Dining Room at The Ritz-Carlton, Buckhead",2009,"Dining Room at The Ritz-Carlton, Buckhead",,Outstanding Service,"Atlanta, Georgia",Semifinalist
The Corn Exchange,2009,The Corn Exchange,M.J. Adams,Best Chef: Midwest,"Rapid City, South Dakota",Semifinalist
Adelsheim Vineyard,2009,Adelsheim Vineyard,David Adelsheim,Outstanding Wine & Spirits Professional,"Newberg, Oregon",Semifinalist
Angelini Osteria,2009,Angelini Osteria,Gino Angelini,Best Chef: Pacific,"Los Angeles, California",Semifinalist
"The Oval Room, The Bombay Club, Ardeo, Bardeo, 701, and Rasika",2009,"The Oval Room, The Bombay Club, Ardeo, Bardeo, 701, and Rasika",Ashok Bajaj,Outstanding Restaurateur,"Washington, District of Columbia",Semifinalist
Bistro on the Boulevard,2009,Bistro on the Boulevard,Ali Barker,Best Chef: Great Lakes,"St. Joseph, Michigan",Semifinalist
Derek's Culinary Casual,2009,Derek's Culinary Casual,Derek Barnes,Best Chef: South,"Sarasota, Florida",Semifinalist
The Rare Wine Co.,2009,The Rare Wine Co.,Mannie Berk,Outstanding Wine & Spirits Professional,"Sonoma, California",Semifinalist
"Mizuna, Luca D'Italia, and Oseria Marco",2009,"Mizuna, Luca D'Italia, and Oseria Marco",Frank Bonanno,Outstanding Restaurateur,"Denver, Colorado",Semifinalist
Red Cat Restaurants,2009,Red Cat Restaurants,Jimmy Bradley,Outstanding Restaurateur,"New York, New York",Semifinalist
Jade Liqueurs,2009,Jade Liqueurs,T.A. Breaux,Outstanding Wine & Spirits Professional,"Birmingham, Alabama",Semifinalist
Salts,2009,Salts,Gabriel Bremer,Best Chef: Northeast,"Cambridge, Massachusetts",Semifinalist
Dogfish Head,2009,Dogfish Head,Sam Calagione,Outstanding Wine & Spirits Professional,"Milton, Delaware",Semifinalist
Blue,2009,Blue,Steven Cameron,Best Chef: Mid-Atlantic,"Surf City, New Jersey",Semifinalist
Tabla,2009,Tabla,Floyd Cardoz,Best Chef: New York City,"New York, New York",Semifinalist
Crofton on Wells,2009,Crofton on Wells,Suzy Crofton,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
Nomi at Park Hyatt,2009,Nomi at Park Hyatt,Christophe David,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
Jean-Robert at Pigall's,2009,Jean-Robert at Pigall's,Jean-Robert De Cavel,Best Chef: Great Lakes,"Cincinnati, Ohio",Semifinalist
Tristan,2009,Tristan,Aaron Deal,Rising Star Chef of the Year,"Charleston, South Carolina",Semifinalist
Moro,2009,Moro,Michael DiBianca,Best Chef: Mid-Atlantic,"Wilmington, Delaware",Semifinalist
"The Ventana Room, Loews Ventana Canyon Resort",2009,"The Ventana Room, Loews Ventana Canyon Resort",Marc Ehrler,Best Chef: Southwest,"Tucson, Arizona",Semifinalist
Marlow & Sons,2009,Marlow & Sons,Caroline Fidanza,Best Chef: New York City,"Brooklyn, New York",Semifinalist
Robert Foley Vineyards,2009,Robert Foley Vineyards,Robert Foley,Outstanding Wine & Spirits Professional,"Angwin, California",Semifinalist
Hirosku Eurasion Tapas,2009,Hirosku Eurasion Tapas,Hiroshi Fukui,Best Chef: Pacific,"Honolulu, Hawaii",Semifinalist
Germain-Robin,2009,Germain-Robin,Hubert Germain-Robin,Outstanding Wine & Spirits Professional,"Ukiah, California",Semifinalist
Z Grille,2009,Z Grille,Zach Gross,Best Chef: South,"St. Petersburg, Florida",Semifinalist
Butter Restaurant,2009,Butter Restaurant,Alexandra Guarnaschelli,Best Chef: New York City,"New York, New York",Semifinalist
Joel Robuchon at the Manision at MGM Grand Hotel & Casino,2009,Joel Robuchon at the Manision at MGM Grand Hotel & Casino,Kamel Guechida,Outstanding Pastry Chef,"Las Vegas, Nevada",Semifinalist
Hamersley's Bistro,2009,Hamersley's Bistro,,Outstanding Restaurant,"Boston, Massachusetts",Semifinalist
Cleonice,2009,Cleonice,Richard Hanson,Best Chef: Northeast,"Ellsworth, Maine",Semifinalist
Courtright's Restaurant,2009,Courtright's Restaurant,,Outstanding Service,"Willow Springs, Illinois",Semifinalist
Ratcliffe on the Green,2009,Ratcliffe on the Green,Mark Hibbs,Best Chef: Southeast,"Charlotte, North Carolina",Semifinalist
Real Restaurants,2009,Real Restaurants,Bill Higgins,Outstanding Restaurateur,"Sausalito, California",Semifinalist
Buddakan,2009,Buddakan,Kate Honeyman,Outstanding Pastry Chef,"Philadelphia, Pennsylvania",Semifinalist
Tremont 647,2009,Tremont 647,Andy Husbands,Best Chef: Northeast,"Boston, Massachusetts",Semifinalist
Cork,2009,Cork,,Best New Restaurant,"Washington, District of Columbia",Semifinalist
3030 Ocean,2009,3030 Ocean,Dean James Max,Best Chef: South,"Fort Lauderdale, Florida",Semifinalist
Calera,2009,Calera,Josh Jensen,Outstanding Wine & Spirits Professional,"Hollister, California",Semifinalist
Proof,2009,Proof,Haidar Karoum,Best Chef: Mid-Atlantic,"Washington, District of Columbia",Semifinalist
Bistro Montage,2009,Bistro Montage,Enosh Kelly,Best Chef: Midwest,"Des Moines, Iowa",Semifinalist
Xaviar's at Piermont,2009,Xaviar's at Piermont,Peter Kelly,Best Chef: Northeast,"Piermont, New York",Semifinalist
Quaintance-Weaver Restaurants,2009,Quaintance-Weaver Restaurants,Nancy King Quaintance,Outstanding Restaurateur,"Greensboro, North Carolina",Semifinalist
Kappo,2009,Kappo,Taichi Kitamura,Best Chef: Northwest,"Seattle, Washington",Semifinalist
Micahel Mina at Bellagio,2009,Micahel Mina at Bellagio,Sarah Kosikowski,Rising Star Chef of the Year,"Las Vegas, Nevada",Semifinalist
Interim Restaurant & Bar,2009,Interim Restaurant & Bar,Jackson Kramer,Rising Star Chef of the Year,"Memphis, Tennessee",Semifinalist
Lacroix at the Rittenhouse,2009,Lacroix at the Rittenhouse,,Outstanding Wine Service,"Philadelphia, Pennsylvania",Semifinalist
Cacao Restaurant,2009,Cacao Restaurant,Edgar Leal,Best Chef: South,"Coral Gables, Florida",Semifinalist
Basil Prosperi's Lucca,2009,Basil Prosperi's Lucca,Stephen Logsdon,Best Chef: Midwest,"Des Moines, Iowa",Semifinalist
Le Titi de Paris,2009,Le Titi de Paris,Michael Maddox,Best Chef: Great Lakes,"Arlington Heights, Illinois",Semifinalist
Corra Wines,2009,Corra Wines,Celia Masyczek,Outstanding Wine & Spirits Professional,"St. Helena, California",Semifinalist
Margot Cafe & Bar,2009,Margot Cafe & Bar,Margot McCormack,Best Chef: Southeast,"Nashville, Tennessee",Semifinalist
Pub and Kitchen,2009,Pub and Kitchen,Jonathan McDonald,Rising Star Chef of the Year,"Philadelphia, Pennsylvania",Semifinalist
Merriman's,2009,Merriman's,Peter Merriman,Best Chef: Pacific,"Waimea, Hawaii",Semifinalist
Merriman's Kapalua,2009,Merriman's Kapalua,,Best New Restaurant,"Maui, Lahaina, Hawaii",Semifinalist
Barrington's Restaurant,2009,Barrington's Restaurant,Bruce Moffett,Best Chef: Southeast,"Charlotte, North Carolina",Semifinalist
Sel Gris,2009,Sel Gris,Daniel Mondok,Best Chef: Northwest,"Portland, Oregon",Semifinalist
Brasa,2009,Brasa,Tamara Murphy,Outstanding Chef,"Seattle, Washington",Semifinalist
Cafe des Architectes at Sofitel Chicago Water Tower,2009,Cafe des Architectes at Sofitel Chicago Water Tower,Martial Noguier,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
Sycamore,2009,Sycamore,Mike Odette,Best Chef: Midwest,"Columbia, Missouri",Semifinalist
Cafe Cenizo,2009,Cafe Cenizo,Paul Petersen,Best Chef: Southwest,"Marathon, Texas",Semifinalist
Five Lakes Grill,2009,Five Lakes Grill,Brian Polcyn,Best Chef: Great Lakes,"Milford, Michigan",Semifinalist
Corduroy,2009,Corduroy,Tom Power,Best Chef: Mid-Atlantic,"Washington, District of Columbia",Semifinalist
"Lautrec, Nemacolin Woodlands Resort",2009,"Lautrec, Nemacolin Woodlands Resort",Dave Racicot,Rising Star Chef of the Year,"Farmington, Pennsylvania",Semifinalist
Mirabelle,2009,Mirabelle,Guy Reuge,Best Chef: Northeast,"St. James, New York",Semifinalist
Pok Pok and Whiskey Soda Lounge,2009,Pok Pok and Whiskey Soda Lounge,Andy Ricker,Best Chef: Northwest,"Portland, Oregon",Semifinalist
"Town Hall, Salt House, and Anchor & Hope",2009,"Town Hall, Salt House, and Anchor & Hope",Mitchell Rosenthal,Outstanding Restaurateur,"San Francisco, California",Semifinalist
Harvest,2009,Harvest,Derek Rowe,Best Chef: Midwest,"Madison, Wisconsin",Semifinalist
Rubio's Restaurants,2009,Rubio's Restaurants,Ralph Rubio,Outstanding Restaurateur,"Carlsbad, California",Semifinalist
The Chocolate Bar,2009,The Chocolate Bar,Aaron Russell,Outstanding Pastry Chef,"Decatur, Georgia",Semifinalist
Sontes,2009,Sontes,Justin Schoville,Rising Star Chef of the Year,"Rochester, Minnesota",Semifinalist
California Grill at Disney's Contemporary Resort,2009,California Grill at Disney's Contemporary Resort,,Outstanding Wine Service,"Lake Buena Vista, Florida",Semifinalist
Chef Damon's,2009,Chef Damon's,Damon Simonton,Best Chef: Southwest,"Taos, New Mexico",Semifinalist
Irving Mill,2009,Irving Mill,Ryan Skeen,Rising Star Chef of the Year,"New York, New York",Semifinalist
Restaurant Michael Smith,2009,Restaurant Michael Smith,Michael Smith,Outstanding Chef,"Kansas City, Missouri",Semifinalist
Eric Solomon Selections,2009,Eric Solomon Selections,Eric Solomon,Outstanding Wine & Spirits Professional,"Charlotte, North Carolina",Semifinalist
The Lark,2009,The Lark,John Somerville,Best Chef: Great Lakes,"West Bloomfield, Michigan",Semifinalist
Restaurant Zoe,2009,Restaurant Zoe,Scott Staples,Best Chef: Northwest,"Seattle, Washington",Semifinalist
Terlato Wine Group,2009,Terlato Wine Group,Anthony Terlato,Outstanding Wine & Spirits Professional,"Bannockburn, Illinois",Semifinalist
BLT Market,2009,BLT Market,Laurent Tourondel,Best Chef: New York City,"New York, New York",Semifinalist
Fraiche,2009,Fraiche,Jason Travi,Best Chef: Pacific,"Culver City, California",Semifinalist
Apotheke,2009,Apotheke,Albert Trummer,Outstanding Wine & Spirits Professional,"New York, New York",Semifinalist
Bindi,2009,Bindi,Marcie Turney,Best Chef: Mid-Atlantic,"Philadelphia, Pennsylvania",Semifinalist
Trattoria Lucca,2009,Trattoria Lucca,,Best New Restaurant,"Charleston, South Carolina",Semifinalist
Noca,2009,Noca,,Best New Restaurant,"Phoenix, Arizona",Semifinalist
Alto,2009,Alto,Michael White,Best Chef: New York City,"New York, New York",Semifinalist
Heidi's Minneapolis,2009,Heidi's Minneapolis,Stewart Woodman,Best Chef: Midwest,"Minneapolis, Minnesota",Semifinalist
Mas Farmhouse,2009,Mas Farmhouse,Galen Zamarra,Best Chef: New York City,"New York, New York",Semifinalist
Umami Moto,2009,Umami Moto,Dominic Zumpano,Best Chef: Midwest,"Milwaukee, Wisconsin",Semifinalist
"Gastronomy Management GRoup: Andre's, Alize, and Andre's at the Monte Carlo Resort & Casino",2008,"Gastronomy Management GRoup: Andre's, Alize, and Andre's at the Monte Carlo Resort & Casino",Andre Rochat,Outstanding Restaurateur,"Las Vegas, Nevada",Semifinalist
Atlas Restaurant,2008,Atlas Restaurant,Michael Roberts,Best Chef: Midwest,"St. Louis, Missouri",Semifinalist
T'afia,2008,T'afia,Monica Pope,Best Chef: Southwest,"Houston, Texas",Semifinalist
"Aureole, Las Vegas",2008,"Aureole, Las Vegas",,Outstanding Wine Service,"Las Vegas, Nevada",Semifinalist
Stephen Pyles,2008,Stephen Pyles,Stephan Pyles,Outstanding Chef,"Dallas, Texas",Semifinalist
Tinto,2008,Tinto,,Best New Restaurant,"Philadelphia, Pennsylvania",Semifinalist
"The Oakroom, The Seelback Hilton Louisville",2008,"The Oakroom, The Seelback Hilton Louisville",Todd Richards,Best Chef: Southeast,"Louisville, Kentucky",Semifinalist
Montagna,2008,Montagna,Ryan Hardy,Best Chef: Southwest,"Aspen, Colorado",Nominee
The Farmhouse,2008,The Farmhouse,Michael Adams,Best Chef: Mid-Atlantic,"Emmaus, Pennsylvania",Semifinalist
Zanne Stewart,2008,Zanne Stewart,,Who's Who of Food & Beverage in America,"Garrison, New York",Winner
Michy's,2008,Michy's,Michelle Bernstein,Best Chef: South,"Miami, Florida",Winner
The River Cafe,2008,The River Cafe,,Outstanding Wine Service,"Brooklyn, New York",Semifinalist
"Big Burrito Restaurant Group (Casbah, Kaya, Mad Mex, Umi)",2008,"Big Burrito Restaurant Group (Casbah, Kaya, Mad Mex, Umi)",Tom Baron,Outstanding Restaurateur,"Pittsburgh, Pennsylvania",Semifinalist
Hominy Grill,2008,Hominy Grill,Robert Stehling,Best Chef: Southeast,"Charleston, South Carolina",Winner
Alison at Blue Bell,2008,Alison at Blue Bell,Alison Barshak,Best Chef: Mid-Atlantic,"Blue Bell, Pennsylvania",Semifinalist
"Montagna, The Little Nell",2008,"Montagna, The Little Nell",,Outstanding Service,"Aspen, Colorado",Semifinalist
Cafe Majestic,2008,Cafe Majestic,Ian Begg,Rising Star Chef of the Year,"San Francisco, California",Semifinalist
Mistral,2008,Mistral,William Belickis,Best Chef: Northwest,"Seattle, Washington",Semifinalist
"Concentrics Restaurants (One Midtown Kitchen, Two Urban Licks, Trois)",2008,"Concentrics Restaurants (One Midtown Kitchen, Two Urban Licks, Trois)",Bob Amick,Outstanding Restaurateur,"Atlanta, Georgia",Semifinalist
Table 45,2008,Table 45,,Best New Restaurant,"Cleveland, Ohio",Semifinalist
Lillette,2008,Lillette,Beth Biundo,Outstanding Pastry Chef,"New Orleans, Louisiana",Semifinalist
Picasso,2008,Picasso,,Outstanding Wine Service,"Las Vegas, Nevada",Nominee
Dante,2008,Dante,,Best New Restaurant,"Valley View, Ohio",Semifinalist
Terry Theise Estate Selections,2008,Terry Theise Estate Selections,Terry Theise,Outstanding Wine & Spirits Professional,"Silver Springs, Maryland",Winner
"Nana, Hilton Anatole Hotel",2008,"Nana, Hilton Anatole Hotel",Anthony Bombaci,Best Chef: Southwest,"Dallas, Texas",Semifinalist
La Duni,2008,La Duni,Dunia Borga,Outstanding Pastry Chef,"Dallas, Texas",Semifinalist
Cafe Boulud,2008,Cafe Boulud,Zach Bell,Best Chef: South,"Palm Beach, Florida",Nominee
Red Cat Restaurants (The Red Cat and The Harrison),2008,Red Cat Restaurants (The Red Cat and The Harrison),Jimmy Bradley,Outstanding Restaurateur,"New York, New York",Semifinalist
Jade Liqueurs,2008,Jade Liqueurs,T.A. Breaux,Outstanding Wine & Spirits Professional,"New Orleans, Louisiana",Semifinalist
Bartolotta's Lake Park Bistro,2008,Bartolotta's Lake Park Bistro,Adam Siegel,Best Chef: Midwest,"Milwaukee, Wisconsin",Winner
La Condesa,2008,La Condesa,Mucca Design,Outstanding Restaurant Graphics,"Dallas, Texas",Nominee
Marche Moderne,2008,Marche Moderne,,Best New Restaurant,"Costa Mesa, California",Semifinalist
Lucia's Restaurant and Wine Bar,2008,Lucia's Restaurant and Wine Bar,,Outstanding Restaurant,"Minneapolis, Minnesota",Semifinalist
Jean-Georges Management LLC,2008,Jean-Georges Management LLC,Jean-Georges Vongerichten,Outstanding Restaurateur,"New York, New York",Nominee
Revolver,2008,Revolver,Michael Bulkowski,Best Chef: Great Lakes,"Findlay, Ohio",Semifinalist
Jeffrey's,2008,Jeffrey's,,Outstanding Service,"Austin, Texas",Semifinalist
HotChocolate,2008,HotChocolate,Mindy Segal,Outstanding Pastry Chef,"Chicago, Illinois",Nominee
Green's,2008,Green's,,Outstanding Restaurant,"San Francisco, California",Semifinalist
Enotria Restaurant & Wine Bar,2008,Enotria Restaurant & Wine Bar,,Outstanding Wine Service,"Sacramento, California",Semifinalist
Presidio Social Club,2008,Presidio Social Club,Mucca Design,Outstanding Restaurant Graphics,"San Francisco, California",Nominee
Daryl,2008,Daryl,,Best New Restaurant,"New Brunswick, New Jersey",Semifinalist
Peninsula Grill,2008,Peninsula Grill,Robert Carter,Best Chef: Southeast,"Charleston, South Carolina",Semifinalist
"Adour Alain Ducasse at the St. Regis New York, NYC",2008,"Adour Alain Ducasse at the St. Regis New York, NYC",Rockwell Group,Outstanding Restaurant Design,"New York, New York",Nominee
Le Reve,2008,Le Reve,Andrew Weissman,Best Chef: Southwest,"San Antonio, Texas",Nominee
