name,year,place,chef,category,location,ranking
Rye on the Road,2015,Rye on the Road,Jon Gasparini,"Outstanding Wine, Spirits, or Beer Professional","San Francisco, California",Semifinalist
Sepia,2015,Sepia,,Outstanding Wine Program,"Chicago, Illinois",Semifinalist
42 Grams,2015,42 Grams,,Best New Restaurant,"Chicago, Illinois",Semifinalist
Rhubarb,2015,Rhubarb,John Fleer,Best Chef: Southeast,"Asheville, North Carolina",Nominee
Restaurant North,2015,Restaurant North,Eric Gabrynowicz,Best Chef: Northeast,"Armonk, New York",Semifinalist
Domenica,2015,Domenica,Alon Shaya,Best Chef: South,"New Orleans, Louisiana",Winner
Wild Ginger,2015,Wild Ginger,,Outstanding Wine Program,"Seattle, Washington",Semifinalist
Jaleo,2015,Jaleo,,Outstanding Restaurant,"Washington, District of Columbia",Semifinalist
Sullivan Street Bakery,2015,Sullivan Street Bakery,Jim Lahey,Outstanding Baker,"New York, New York",Winner
Sarma,2015,Sarma,Cassie Piuma,Best Chef: Northeast,"Somerville, Massachusetts",Nominee
Andrew Michael Italian Kitchen,2015,Andrew Michael Italian Kitchen,Andrew Ticer,Best Chef: Southeast,"Memphis, Tennessee",Nominee
High Street on Market,2015,High Street on Market,Alex Bois,Rising Star Chef of the Year,"Philadelphia, Pennsylvania",Nominee
The Grey,2015,The Grey,Parts and Labor Design,Outstanding Restaurant Design (76 Seats and Over),"Savannah, Georgia",Nominee
Millwright's,2015,Millwright's,Tyler Anderson,Best Chef: Northeast,"Simsbury, Connecticut",Semifinalist
"Big Burrito Restaurant Group (Casbah, Eleven, Kaya, and others)",2015,"Big Burrito Restaurant Group (Casbah, Eleven, Kaya, and others)",Bill Fuller,Outstanding Restaurateur,"Pittsburgh, Pennsylvania",Semifinalist
Charleston,2015,Charleston,,Outstanding Wine Program,"Baltimore, Maryland",Semifinalist
Abe Fisher,2015,Abe Fisher,,Best New Restaurant,"Philadelphia, Pennsylvania",Semifinalist
Proof,2015,Proof,Sean Wilson,Best Chef: Midwest,"Des Moines, Iowa",Semifinalist
Eventide Oyster Co.,2015,Eventide Oyster Co.,Mike Wiley,Best Chef: Northeast,"Portland, Maine",Nominee
Columbia City Bakery,2015,Columbia City Bakery,Evan Andres,Outstanding Baker,"Seattle, Washington",Semifinalist
SoLo Farm & Table,2015,SoLo Farm & Table,Wesley Genovart,Best Chef: Northeast,"South Londonderry, Vermont",Semifinalist
Travail Kitchen and Amusements,2015,Travail Kitchen and Amusements,James Winberg,Best Chef: Midwest,"Robbinsdale, Minnesota",Semifinalist
Lafayette,2015,Lafayette,Jennifer Yee,Outstanding Pastry Chef,"New York, New York",Semifinalist
The Whale Wins,2015,The Whale Wins,Renee Erickson,Best Chef: Northwest,"Seattle, Washington",Nominee
Marcel's,2015,Marcel's,,Outstanding Service,"Washington, District of Columbia",Semifinalist
Jose Enrique,2015,Jose Enrique,Jose Enrique,Best Chef: South,"San Juan, Puerto Rico",Nominee
The Modern Hotel & Bar,2015,The Modern Hotel & Bar,Nathan Whitley,Best Chef: Northwest,"Boise, Idaho",Semifinalist
The Spotted Pig,2015,The Spotted Pig,,Outstanding Restaurant,"New York, New York",Nominee
Narcissa,2015,Narcissa,John Fraser,Best Chef: New York City,"New York, New York",Semifinalist
Restaurant Orsay,2015,Restaurant Orsay,Brian Whittington,Best Chef: South,"Jacksonville, Florida",Semifinalist
Vetri Family,2015,Vetri Family,Steve Wildy,"Outstanding Wine, Spirits, or Beer Professional","Philadelphia, Pennsylvania",Semifinalist
FIG,2015,FIG,Jason Stanhope,Best Chef: Southeast,"Charleston, South Carolina",Winner
Starr Restaurants,2015,Starr Restaurants,Stephen Starr,Outstanding Restaurateur,"Philadelphia, Pennsylvania",Nominee
Tao Yuan,2015,Tao Yuan,Cara Stadler,Rising Star Chef of the Year,"Brunswick, Maine",Nominee
Marta,2015,Marta,Nick Anderer,Best Chef: New York City,"New York, New York",Semifinalist
La Toque,2015,La Toque,,Outstanding Wine Program,"Napa, California",Semifinalist
Della Fattoria,2015,Della Fattoria,Kathleen Weber,Outstanding Baker,"Petaluma, California",Semifinalist
Elements,2015,Elements,Scott Anderson,Best Chef: Mid-Atlantic,"Princeton, New Jersey",Semifinalist
Myers + Chang,2015,Myers + Chang,Karen Akunowicz,Best Chef: Northeast,"Boston, Massachusetts",Nominee
Black Market,2015,Black Market,Micah Frank,Best Chef: Great Lakes,"Indianapolis, Indiana",Semifinalist
Nathalie Dupree,2015,Nathalie Dupree,,Who's Who of Food & Beverage in America,"Charleston, South Carolina",Winner
Cakes & Ale,2015,Cakes & Ale,Billy Allin,Best Chef: Southeast,"Decatur, Georgia",Semifinalist
"Fox Restaurant Concepts (The Arrogrant Butcher, Culinary Dropout, Olive & Ivy, and others)",2015,"Fox Restaurant Concepts (The Arrogrant Butcher, Culinary Dropout, Olive & Ivy, and others)",Sam Fox,Outstanding Restaurateur,"Phoenix, Arizona",Semifinalist
Della Fattoria,2015,Della Fattoria,Edmund Weber,Outstanding Baker,"Petaluma, California",Semifinalist
The American Restaurant,2015,The American Restaurant,Nick Wesemann,Outstanding Pastry Chef,"Kansas City, Missouri",Semifinalist
Buvette,2015,Buvette,Jody Williams,Best Chef: New York City,"New York, New York",Semifinalist
Wylie Dufresne,2015,Wylie Dufresne,,Who's Who of Food & Beverage in America,"New York, New York",Winner
Heritage Tavern,2015,Heritage Tavern,Dan Fox,Best Chef: Midwest,"Madison, Wisconsin",Semifinalist
Binkley's,2015,Binkley's,Kevin Binkley,Best Chef: Southwest,"Cave Creek, Arizona",Nominee
EL Ideas,2015,EL Ideas,Phillip Foss,Best Chef: Great Lakes,"Chicago, Illinois",Semifinalist
The Ivy Inn,2015,The Ivy Inn,Angelo Vangelopoulos,Best Chef: Mid-Atlantic,"Charlottesville, Virginia",Semifinalist
La Farm Bakery,2015,La Farm Bakery,Lionel Vatinet,Outstanding Baker,"Cary, North Carolina",Semifinalist
Community Table,2015,Community Table,Joel Viehland,Best Chef: Northeast,"Washington, Connecticut",Semifinalist
Three Floyds Brewing,2015,Three Floyds Brewing,Simon Floyd,"Outstanding Wine, Spirits, or Beer Professional","Munster, Indiana",Semifinalist
Grace,2015,Grace,Curtis Duffy,Best Chef: Great Lakes,"Chicago, Illinois",Nominee
Foggy Ridge Cider,2015,Foggy Ridge Cider,Diane Flynt,"Outstanding Wine, Spirits, or Beer Professional","Dugspur, Virginia",Semifinalist
Rustic Canyon,2015,Rustic Canyon,Jeremy Fox,Best Chef: West,"Santa Monica, California",Semifinalist
Panciuto,2015,Panciuto,Aaron Vandemark,Best Chef: Southeast,"Hillsborough, North Carolina",Semifinalist
Hen of the Wood,2015,Hen of the Wood,Eric Warnstedt,Best Chef: Northeast,"Waterbury, Vermont",Semifinalist
Snackbar,2015,Snackbar,Vishwesh Bhatt,Best Chef: South,"Oxford, Mississippi",Nominee
Marea,2015,Marea,,Outstanding Service,"New York, New York",Nominee
Three Floyds Brewing,2015,Three Floyds Brewing,Mike Floyd,"Outstanding Wine, Spirits, or Beer Professional","Munster, Indiana",Semifinalist
Travail Kitchen and Amusements,2015,Travail Kitchen and Amusements,Bob Gerken,Best Chef: Midwest,"Robbinsdale, Minnesota",Semifinalist
Restaurant August,2015,Restaurant August,,Outstanding Service,"New Orleans, Louisiana",Nominee
Three Floyds Brewing,2015,Three Floyds Brewing,Nick Floyd,"Outstanding Wine, Spirits, or Beer Professional","Munster, Indiana",Semifinalist
"(The Optimist, King + Duke, JCT. Kitchen & Bar, and others)",2015,"(The Optimist, King + Duke, JCT. Kitchen & Bar, and others)",Ford Fry,Outstanding Restaurateur,"Atlanta, Georgia",Semifinalist
Toups' Meatery,2015,Toups' Meatery,Isaac Toups,Best Chef: South,"New Orleans, Louisiana",Semifinalist
Homestead on the Roof,2015,Homestead on the Roof,Christopher Teixeira,Rising Star Chef of the Year,"Chicago, Illinois",Semifinalist
City House,2015,City House,Tandy Wilson,Best Chef: Southeast,"Nashville, Tennessee",Nominee
Francine Bistro,2015,Francine Bistro,Brian Hill,Best Chef: Northeast,"Camden, Maine",Semifinalist
Vernick Food & Drink,2015,Vernick Food & Drink,Greg Vernick,Best Chef: Mid-Atlantic,"Philadelphia, Pennsylvania",Nominee
Odd Duck,2015,Odd Duck,Sam Hellman-Mass,Rising Star Chef of the Year,"Austin, Texas",Semifinalist
Fore Street,2015,Fore Street,,Outstanding Restaurant,"Portland, Maine",Semifinalist
Little T American Baker,2015,Little T American Baker,Tim Healea,Outstanding Baker,"Portland, Oregon",Semifinalist
Bacchanalia,2015,Bacchanalia,,Outstanding Restaurant,"Atlanta, Georgia",Semifinalist
Maude,2015,Maude,,Best New Restaurant,"Beverly Hills, California",Semifinalist
Lot 12 Public House,2015,Lot 12 Public House,Damian Heath,Best Chef: Southeast,"Berkeley Springs, West Virginia",Semifinalist
Cleveland-Heath,2015,Cleveland-Heath,Eric Heath,Best Chef: Great Lakes,"Edwardsville, Illinois",Semifinalist
Ox,2015,Ox,Greg Denton,Best Chef: Northwest,"Portland, Oregon",Nominee
SPQR,2015,SPQR,Matthew Accarrino,Best Chef: West,"San Francisco, California",Nominee
Ox,2015,Ox,Gabrielle Quinonez Denton,Best Chef: Northwest,"Portland, Oregon",Nominee
Sarma,2015,Sarma,Cassie Piuma,Best Chef: Northeast,"Somerville, Massachusetts",Nominee
Workshop Kitchen + Bar,2015,Workshop Kitchen + Bar,SOMA,Outstanding Restaurant Design (76 Seats and Over),"Palm Springs, California",Winner
Guelaguetza,2015,Guelaguetza,,America's Classics,"Los Angeles, California",Winner
Nana's,2015,Nana's,Scott Howell,Best Chef: Southeast,"Durham, North Carolina",Semifinalist
Dale Degroff,2015,Dale Degroff,,Who's Who of Food & Beverage in America,"New York, New York",Winner
Beaumont Inn,2015,Beaumont Inn,,America's Classics,"Harrodsburg, Kentucky",Winner
The Barn at Blackberry Farm,2015,The Barn at Blackberry Farm,,Outstanding Service,"Walland, Tennessee",Winner
Maison Premiere,2015,Maison Premiere,,Outstanding Bar Program,"Brooklyn, New York",Nominee
"(Island Creek Oyster Bar, Eastern Standard Kitchen & Drinks, the Hawthorne, and others)",2015,"(Island Creek Oyster Bar, Eastern Standard Kitchen & Drinks, the Hawthorne, and others)",Garrett Harker,Outstanding Restaurateur,"Boston, Massachusetts",Semifinalist
Lazy Bear,2015,Lazy Bear,,Best New Restaurant,"San Francisco, California",Semifinalist
Prune,2015,Prune,Gabrielle Hamilton,Outstanding Chef,"New York, New York",Semifinalist
"Blau and Associates (Honey Slat, Made. LV, Simon Restaurant and Lounge, and others)",2015,"Blau and Associates (Honey Slat, Made. LV, Simon Restaurant and Lounge, and others)",Elizabeth Blau,Outstanding Restaurateur,"Las Vegas, Nevada",Semifinalist
Fish & Game,2015,Fish & Game,"Michael R. Davis, Architects & Interiors",Outstanding Restaurant Design (75 Seats and Under),"Hudson, New York",Nominee
B. Patisserie,2015,B. Patisserie,Belinda Leong,Outstanding Baker,"San Francisco, California",Nominee
The Rieger Hotel Grill & Exchange,2015,The Rieger Hotel Grill & Exchange,Howard Hanna,Best Chef: Midwest,"Kansas City, Missouri",Semifinalist
Bern's Steak House,2015,Bern's Steak House,,Outstanding Wine Program,"Tampa, Florida",Nominee
L'Espalier,2015,L'Espalier,,Outstanding Service,"Boston, Massachusetts",Semifinalist
Sante,2015,Sante,Jeremy Hansen,Best Chef: Northwest,"Spokane, Washington",Semifinalist
Langbaan,2015,Langbaan,,Best New Restaurant,"Portland, Oregon",Semifinalist
Sepia,2015,Sepia,Andrew Zimmerman,Best Chef: Great Lakes,"Chicago, Illinois",Nominee
Quince,2015,Quince,,Outstanding Service,"San Francisco, California",Nominee
Hogstone Wood Oven,2015,Hogstone Wood Oven,Jay Blackinton,Rising Star Chef of the Year,"Orcas Island, Washington",Semifinalist
The Roosevelt,2015,The Roosevelt,Lee Gregory,Best Chef: Mid-Atlantic,"Richmond, Virginia",Semifinalist
Daniel,2015,Daniel,Ghaya Oliveira,Outstanding Pastry Chef,"New York, New York",Nominee
Lusca,2015,Lusca,,Best New Restaurant,"Atlanta, Georgia",Semifinalist
Spago,2015,Spago,,Outstanding Wine Program,"Beverly Hills, California",Nominee
Hungry Mother,2015,Hungry Mother,Barry Maiden,Best Chef: Northeast,"Cambridge, Massachusetts",Winner
Acquerello,2015,Acquerello,,Outstanding Restaurant,"San Francisco, California",Semifinalist
The Rusty Spoon,2015,The Rusty Spoon,Kathleen Blake,Best Chef: South,"Orlando, Florida",Semifinalist
Kimball House,2015,Kimball House,,Outstanding Bar Program,"Decatur, Georgia",Semifinalist
Momofuku Ko,2015,Momofuku Ko,,Outstanding Wine Program,"New York, New York",Semifinalist
Empire State South,2015,Empire State South,Steven Grubbs,"Outstanding Wine, Spirits, or Beer Professional","Atlanta, Georgia",Semifinalist
Trick Dog,2015,Trick Dog,,Outstanding Bar Program,"San Francisco, California",Nominee
Pizzeria Bianco,2015,Pizzeria Bianco,,Outstanding Restaurant,"Phoenix, Arizona",Semifinalist
Bien Cuit,2015,Bien Cuit,Zachary Golper,Outstanding Baker,"Brooklyn, New York",Semifinalist
Eatery A,2015,Eatery A,Nic Gonwa,Rising Star Chef of the Year,"Des Moines, Iowa",Semifinalist
Blackbird,2015,Blackbird,Dana Cree,Outstanding Pastry Chef,"Chicago, Illinois",Nominee
Niche,2015,Niche,Gerard Craft,Best Chef: Midwest,"Clayton, Missouri",Winner
Lucques,2015,Lucques,,Outstanding Service,"Los Angeles, California",Semifinalist
Lincoln Ristorante,2015,Lincoln Ristorante,Jonathan Benno,Best Chef: New York City,"New York, New York",Semifinalist
Sepia,2015,Sepia,,Outstanding Wine Program,"Chicago, Illinois",Semifinalist
The Violet Hour,2015,The Violet Hour,,Outstanding Bar Program,"Chicago, Illinois",Winner
"Strategic Hospitality (The Catbird Seat, Pinewood Social, Merchants, Patterson House, and others)",2015,"Strategic Hospitality (The Catbird Seat, Pinewood Social, Merchants, Patterson House, and others)",Benjamin & Max Goldberg,Outstanding Restaurateur,"Nashville, Tennessee",Semifinalist
Forage,2015,Forage,Bowman Brown,Best Chef: Southwest,"Salt Lake City, Utah",Semifinalist
"(Barbette, Bryant-Lake Bowl, Red Stag Supperclub, and others)",2015,"(Barbette, Bryant-Lake Bowl, Red Stag Supperclub, and others)",Kim Bartmann,Outstanding Restaurateur,"Minneapolis, Minnesota",Semifinalist
Spiaggia,2015,Spiaggia,,Outstanding Restaurant,"Chicago, Illinois",Semifinalist
Le Petit Outre,2015,Le Petit Outre,Leif Bjelland,Outstanding Baker,"Missoula, Montana",Semifinalist
Departure,2015,Departure,Gregory Gourdet,Best Chef: Northwest,"Portland, Oregon",Semifinalist
Osteria Mozza,2015,Osteria Mozza,Dahlia Narvaez,Outstanding Pastry Chef,"Los Angeles, California",Nominee
"Boka Restaurant Group (Boka, Girl & the Goat, GT Fish & Oyster, Momotaro, and others)",2015,"Boka Restaurant Group (Boka, Girl & the Goat, GT Fish & Oyster, Momotaro, and others)",Kevin Boehm,Outstanding Restaurateur,"Chicago, Illinois",Semifinalist
Recess,2015,Recess,Greg Hardesty,Best Chef: Great Lakes,"Indianapolis, Indiana",Semifinalist
Wild Ginger,2015,Wild Ginger,,Outstanding Wine Program,"Seattle, Washington",Semifinalist
Del Maguey Single Village Mezcal,2015,Del Maguey Single Village Mezcal,Ron Cooper,"Outstanding Wine, Spirits, or Beer Professional","Ranchos de Taos, New Mexico",Nominee
Buvette,2015,Buvette,Jody Williams,Best Chef: New York City,"New York, New York",Semifinalist
Farmhaus,2015,Farmhaus,Kevin Willmann,Best Chef: Midwest,"St. Louis, Missouri",Semifinalist
The Modern Hotel & Bar,2015,The Modern Hotel & Bar,Nathan Whitley,Best Chef: Northwest,"Boise, Idaho",Semifinalist
Restaurant Orsay,2015,Restaurant Orsay,Brian Whittington,Best Chef: South,"Jacksonville, Florida",Semifinalist
Vidalia,2015,Vidalia,,Outstanding Restaurant,"Washington, District of Columbia",Semifinalist
Marcel's,2015,Marcel's,,Outstanding Service,"Washington, District of Columbia",Semifinalist
Gunshow,2015,Gunshow,Kevin Gillespie,Best Chef: Southeast,"Atlanta, Georgia",Semifinalist
The General Muir,2015,The General Muir,Todd Ginsberg,Best Chef: Southeast,"Atlanta, Georgia",Semifinalist
Vetri Family,2015,Vetri Family,Steve Wildy,"Outstanding Wine, Spirits, or Beer Professional","Philadelphia, Pennsylvania",Semifinalist
Proof,2015,Proof,Sean Wilson,Best Chef: Midwest,"Des Moines, Iowa",Semifinalist
Miyake,2015,Miyake,Masa Miyake,Best Chef: Northeast,"Portland, Maine",Nominee
La Folie,2015,La Folie,Jeremy Wayne,Rising Star Chef of the Year,"San Francisco, California",Semifinalist
Della Fattoria,2015,Della Fattoria,Edmund Weber,Outstanding Baker,"Petaluma, California",Semifinalist
Della Fattoria,2015,Della Fattoria,Kathleen Weber,Outstanding Baker,"Petaluma, California",Semifinalist
Littorai Wines,2015,Littorai Wines,Ted Lemon,"Outstanding Wine, Spirits, or Beer Professional","Sebastopol, California",Nominee
Mina Restaurants,2015,Mina Restaurants,Michael Mina,Outstanding Restaurateur,"San Francisco, California",Nominee
Oxheart,2015,Oxheart,Justin Yu,Best Chef: Southwest,"Houston, Texas",Nominee
Greens,2015,Greens,,Outstanding Restaurant,"San Francisco, California",Semifinalist
Hugo's,2015,Hugo's,,Outstanding Wine Program,"Houston, Texas",Semifinalist
Davenport,2015,Davenport,Kevin Gibson,Best Chef: Northwest,"Portland, Oregon",Semifinalist
The American Restaurant,2015,The American Restaurant,Nick Wesemann,Outstanding Pastry Chef,"Kansas City, Missouri",Semifinalist
Travail Kitchen and Amusements,2015,Travail Kitchen and Amusements,James Winberg,Best Chef: Midwest,"Robbinsdale, Minnesota",Semifinalist
Cosme,2015,Cosme,,Best New Restaurant,"New York, New York",Nominee
Castagna,2015,Castagna,Justin Woodward,Best Chef: Northwest,"Portland, Oregon",Nominee
SoLo Farm & Table,2015,SoLo Farm & Table,Wesley Genovart,Best Chef: Northeast,"South Londonderry, Vermont",Semifinalist
Travail Kitchen and Amusements,2015,Travail Kitchen and Amusements,Bob Gerken,Best Chef: Midwest,"Robbinsdale, Minnesota",Semifinalist
Nico Osteria,2015,Nico Osteria,Erling Wu-Bower,Best Chef: Great Lakes,"Chicago, Illinois",Nominee
La Farm Bakery,2015,La Farm Bakery,Lionel Vatinet,Outstanding Baker,"Cary, North Carolina",Semifinalist
FIG,2015,FIG,,Outstanding Wine Program,"Charleston, South Carolina",Nominee
Panciuto,2015,Panciuto,Aaron Vandemark,Best Chef: Southeast,"Hillsborough, North Carolina",Semifinalist
Upperline,2015,Upperline,JoAnn Clevenger,Outstanding Restaurateur,"New Orleans, Louisiana",Nominee
The Ivy Inn,2015,The Ivy Inn,Angelo Vangelopoulos,Best Chef: Mid-Atlantic,"Charlottesville, Virginia",Semifinalist
Community Table,2015,Community Table,Joel Viehland,Best Chef: Northeast,"Washington, Connecticut",Semifinalist
The Pass,2015,The Pass,Terrence Gallivan,Best Chef: Southwest,"Houston, Texas",Semifinalist
Fiola,2015,Fiola,Fabio Trabocchi,Outstanding Chef,"Washington, District of Columbia",Semifinalist
Crafthouse,2015,Crafthouse,Charles Joly,"Outstanding Wine, Spirits, or Beer Professional","Chicago, Illinois",Semifinalist
The Cecil,2015,The Cecil,Joseph Johnson,Rising Star Chef of the Year,"New York, New York",Semifinalist
Homestead on the Roof,2015,Homestead on the Roof,Christopher Teixeira,Rising Star Chef of the Year,"Chicago, Illinois",Semifinalist
Canlis,2015,Canlis,,Outstanding Restaurant,"Seattle, Washington",Semifinalist
Restaurant Martin,2015,Restaurant Martin,Martin Rios,Best Chef: Southwest,"Santa Fe, New Mexico",Nominee
Lilly's,2015,Lilly's,Kathy Cary,Best Chef: Southeast,"Louisville, Kentucky",Semifinalist
Parachute,2015,Parachute,,Best New Restaurant,"Chicago, Illinois",Nominee
The Willows Inn on Lummi Island,2015,The Willows Inn on Lummi Island,Blaine Wetzel,Best Chef: Northwest,"Lummi Island, Washington",Winner
Bibou,2015,Bibou,Pierre Calmels,Best Chef: Mid-Atlantic,"Philadelphia, Pennsylvania",Semifinalist
Momofuku Noodle Bar,2015,Momofuku Noodle Bar,,Outstanding Restaurant,"New York, New York",Nominee
A(MUSE.),2015,A(MUSE.),Hari Cameron,Best Chef: Mid-Atlantic,"Rehoboth Beach, Delaware",Semifinalist
Blue Hill at Stone Barns,2015,Blue Hill at Stone Barns,,Outstanding Restaurant,"Pocantico Hills, New York",Winner
"(Frankie's 457, Prime Meats, Cafe Pedlar, and others)",2015,"(Frankie's 457, Prime Meats, Cafe Pedlar, and others)",Frank Castronovo,Outstanding Restaurateur,"Brooklyn, New York",Semifinalist
Jennifer James 101,2015,Jennifer James 101,Jennifer James,Best Chef: Southwest,"Albuquerque, New Mexico",Semifinalist
Vedge,2015,Vedge,Kate Jacoby,Outstanding Pastry Chef,"Philadelphia, Pennsylvania",Semifinalist
Town,2015,Town,Ed Kenney,Best Chef: West,"Honolulu, Hawaii",Semifinalist
The Grey,2015,The Grey,,Best New Restaurant,"Savannah, Georgia",Semifinalist
Oleana,2015,Oleana,Maura Kilpatrick,Outstanding Pastry Chef,"Cambridge, Massachusetts",Nominee
Buffalo Trace Distillery,2015,Buffalo Trace Distillery,Harlen Wheatley,"Outstanding Wine, Spirits, or Beer Professional","Frankfort, Kentucky",Nominee
The Franklin Mortgage & Investment Co.,2015,The Franklin Mortgage & Investment Co.,,Outstanding Bar Program,"Philadelphia, Pennsylvania",Semifinalist
Per Se,2015,Per Se,,Outstanding Restaurant,"New York, New York",Nominee
Mina Restaurants,2015,Mina Restaurants,Michael Mina,Outstanding Restaurateur,"San Francisco, California",Nominee
Estela,2015,Estela,Ignacio Mattos,Best Chef: New York City,"New York, New York",Nominee
Congress,2015,Congress,David Bull,Best Chef: Southwest,"Austin, Texas",Semifinalist
Forequarter,2015,Forequarter,Jonathan Hunter,Best Chef: Midwest,"Madison, Wisconsin",Semifinalist
Boltwood,2015,Boltwood,Brian Huston,Best Chef: Great Lakes,"Evanston, Illinois",Semifinalist
Odd Duck,2015,Odd Duck,Mark Buley,Rising Star Chef of the Year,"Austin, Texas",Semifinalist
Nana's,2015,Nana's,Scott Howell,Best Chef: Southeast,"Durham, North Carolina",Semifinalist
Mei Mei,2015,Mei Mei,Max Hull,Rising Star Chef of the Year,"Boston, Massachusetts",Semifinalist
Spoon and Stable,2015,Spoon and Stable,,Best New Restaurant,"Minneapolis, Minnesota",Nominee
Arnaud's French 75 Bar,2015,Arnaud's French 75 Bar,,Outstanding Bar Program,"New Orleans, Louisiana",Nominee
One Off Hospitality Group,2015,One Off Hospitality Group,Donald Madia,Outstanding Restaurateur,"Chicago, Illinois",Winner
Rustica Bakery,2015,Rustica Bakery,Steve Horton,Outstanding Baker,"Minneapolis, Minnesota",Semifinalist
Maricel Presilla,2015,Maricel Presilla,,Who's Who of Food & Beverage in America,"Hoboken, New Jersey",Winner
Chai Pani,2015,Chai Pani,Meherwan Irani,Best Chef: Southeast,"Asheville, North Carolina",Semifinalist
"Victoria & Albert's, Disney's Grand Floridian Resort & Spa",2015,"Victoria & Albert's, Disney's Grand Floridian Resort & Spa",Scott Hunnel,Best Chef: South,"Lake Buena Vista, Florida",Semifinalist
The Alley Light,2015,The Alley Light,,Best New Restaurant,"Charlottesville, Virginia",Semifinalist
Chef & the Farmer,2015,Chef & the Farmer,Vivian Howard,Best Chef: Southeast,"Kinston, North Carolina",Semifinalist
Daniel,2015,Daniel,Ghaya Oliveira,Outstanding Pastry Chef,"New York, New York",Nominee
Lafayette,2015,Lafayette,Jennifer Yee,Outstanding Pastry Chef,"New York, New York",Semifinalist
Wild Ginger,2015,Wild Ginger,,Outstanding Wine Program,"Seattle, Washington",Semifinalist
Sally Bell's Kitchen,2015,Sally Bell's Kitchen,,America's Classics,"Richmond, Virginia",Winner
Charleston,2015,Charleston,,Outstanding Wine Program,"Baltimore, Maryland",Semifinalist
Sepia,2015,Sepia,,Outstanding Wine Program,"Chicago, Illinois",Semifinalist
Colonia Verde,2015,Colonia Verde,Condor Construction,Outstanding Restaurant Design (75 Seats and Under),"Brooklyn, New York",Nominee
Strip T's,2015,Strip T's,,Outstanding Service,"Watertown, Massachusetts",Semifinalist
Odd Duck,2015,Odd Duck,Sam Hellman-Mass,Rising Star Chef of the Year,"Austin, Texas",Semifinalist
Mustards Grill and Cindy's Back Street Kitchen,2015,Mustards Grill and Cindy's Back Street Kitchen,Cindy Pawlcyn,Outstanding Restaurateur,"Napa, California",Nominee
FIG,2015,FIG,Jason Stanhope,Best Chef: Southeast,"Charleston, South Carolina",Winner
Boarding House,2015,Boarding House,Tanya Baker,Rising Star Chef of the Year,"Chicago, Illinois",Nominee
Starr Restaurants,2015,Starr Restaurants,Stephen Starr,Outstanding Restaurateur,"Philadelphia, Pennsylvania",Nominee
Francine Bistro,2015,Francine Bistro,Brian Hill,Best Chef: Northeast,"Camden, Maine",Semifinalist
Lot 12 Public House,2015,Lot 12 Public House,Damian Heath,Best Chef: Southeast,"Berkeley Springs, West Virginia",Semifinalist
Cleveland-Heath,2015,Cleveland-Heath,Eric Heath,Best Chef: Great Lakes,"Edwardsville, Illinois",Semifinalist
Miyake,2015,Miyake,Masa Miyake,Best Chef: Northeast,"Portland, Maine",Nominee
Selden Standard,2015,Selden Standard,Andy Hollyday,Best Chef: Great Lakes,"Detroit, Michigan",Semifinalist
Animal,2015,Animal,Jon Shook,Best Chef: West,"Los Angeles, California",Nominee
Ardent,2015,Ardent,Justin Carlisle,Best Chef: Midwest,"Milwaukee, Wisconsin",Nominee
Farmhaus,2015,Farmhaus,Kevin Willmann,Best Chef: Midwest,"St. Louis, Missouri",Semifinalist
Proof,2015,Proof,Sean Wilson,Best Chef: Midwest,"Des Moines, Iowa",Semifinalist
Leon's Oyster Shop,2015,Leon's Oyster Shop,Ari Kolender,Rising Star Chef of the Year,"Charleston, South Carolina",Semifinalist
Fore Street,2015,Fore Street,,Outstanding Restaurant,"Portland, Maine",Semifinalist
Vetri Family,2015,Vetri Family,Steve Wildy,"Outstanding Wine, Spirits, or Beer Professional","Philadelphia, Pennsylvania",Semifinalist
Curate,2015,Curate,Katie Button,Best Chef: Southeast,"Ashville, North Carolina",Semifinalist
Bacchanalia,2015,Bacchanalia,,Outstanding Restaurant,"Atlanta, Georgia",Semifinalist
Buvette,2015,Buvette,Jody Williams,Best Chef: New York City,"New York, New York",Semifinalist
Travail Kitchen and Amusements,2015,Travail Kitchen and Amusements,James Winberg,Best Chef: Midwest,"Robbinsdale, Minnesota",Semifinalist
Greenhouse Tavern,2015,Greenhouse Tavern,Jonathon Sawyer,Best Chef: Great Lakes,"Cleveland, Ohio",Winner
Travail Kitchen and Amusements,2015,Travail Kitchen and Amusements,Mike Brown,Best Chef: Midwest,"Robbinsdale, Minnesota",Semifinalist
Carbone,2015,Carbone,Mario Carbone,Best Chef: New York City,"New York, New York",Nominee
Little T American Baker,2015,Little T American Baker,Tim Healea,Outstanding Baker,"Portland, Oregon",Semifinalist
The Flaky Tart,2015,The Flaky Tart,Marie Jackson,Outstanding Baker,"Atlantic Highlands, New Jersey",Semifinalist
Restaurant Alma,2015,Restaurant Alma,,Outstanding Service,"Minneapolis, Minnesota",Semifinalist
Hen of the Wood,2015,Hen of the Wood,Eric Warnstedt,Best Chef: Northeast,"Waterbury, Vermont",Semifinalist
La Farm Bakery,2015,La Farm Bakery,Lionel Vatinet,Outstanding Baker,"Cary, North Carolina",Semifinalist
The Rieger Hotel Grill & Exchange,2015,The Rieger Hotel Grill & Exchange,Howard Hanna,Best Chef: Midwest,"Kansas City, Missouri",Semifinalist
